"CRUISE6", "CRUISE", "STRATUM", "TOW", "STATION", "STATUS_CODE", "ID", "SVSPP", "CATCHSEX", "INDID", "LENGTH", "INDWT", "SEX", "MATURITY", "AGE", "AGE_DATA_FLAG", "STOM_VOLUME", "STOM_WGT", "IND_FISH_COMMENTS"
"199201","9201","01020","006","0002","10","199201010200060002","103",,,50,,"2","T",3," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,30,,"2","T",1," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,65,,"2","T",4," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,43,,"2","T",2," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,29,,"2","T",1," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,27,,"1","T",1," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,38,,"2","T",2," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,39,,"2","T",2," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,36,,"2","T",1," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,46,,"2","T",2," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,41,,"2","T",2," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,37,,"2","T",2," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,28,,"1","T",1," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,44,,"1","T",2," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,35,,"1","T",2," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,40,,"2","T",2," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,45,,"2","T",2," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,48,,"2","T",2," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,31,,"1","T",1," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,33,,"1","T",1," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,32,,"1","T",1," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,42,,"2","T",2," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","103",,,34,,"1","T",1," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","131",,,14,,"1",,1," ",,," "
"199201","9201","01020","006","0002","10","199201010200060002","131",,,12,,"2",,1," ",,," "
